id,OrderableName,DosageForm,IvFlag,InactiveDate,DayOrDoseLimit,DefaultMedRoute,ScheduleType,Schedule,Synonym,FormularyStatus,AlertMsg,PatientInstructions,AssociatedImmunization,MedRoutes
753,ZZ AMOXICILLIN 250MG/5ML 100ML,"PWDR,RENST-ORAL",,"FEB 25,2018",,ORAL,,Q8H,[],,"[""AMOXICILLIN 250MG/5ML SUSP""]",FINF DISCARD_,,[]
754,ZZ ANTIPYRINE 5.4%/BENZOCAINE 1.4%,"SOLN,OTIC",,"JAN 5,2016",30D,OTIC,,QID,[],,[],PRN FPA,,[]
755,ANTIVENIN CROTALIDAE (CROFAB),INJ,,,30D,IV PIGGYBACK,,UD,"[""CROFAB"", ""SNAKE ANTIVENIN"", ""SNAKE BITE ANTIVENIN""]",,[],,,[]
756,LATRODECTUS MACTANS ANTIVENIN,"INJ,SOLN",,,30D,INTRAVENOUS,,UD,"[""BLACK WIDOW SPIDER ANTIVENIN""]",,[],,,[]
757,ASPIRIN,"SUPP,RTL",,,30D,RECTAL,,Q6H PRN,[],,[],F FEVER,,[]
758,AZATHIOPRINE,TAB,,,30D,ORAL,,DAILY,"[""IMURAN""]",,"[""HAZARDOUS"", ""LOOK ALIKE SOUND ALIKE""]",FAR,,[]
759,ZZ BENZOIN COMPOUND,"LIQUID,TOP",,"JUN 24,2010",,,,,[],,[],,,[]
760,BENZOYL PEROXIDE 5%,"GEL,TOP",,,30D,TOPICAL ACNE,,BID,"[""DESQUAM-X""]",,[],,,[]
761,PHYSOSTIGMINE,"INJ,SOLN",,,30D,INTRAVENOUS,,UD,"[""ANTILIRIUM""]",,[],,,[]
762,ZZ POLIOVIRUS VACCINE,"LIQUID,ORAL",,"FEB 19,2008",,,,,[],,[],,,[]
763,POTASSIUM PHOSPHATE,"INJ,SOLN",,,30D,INTRAVENOUS,,ONCE,"[""NEUTRA-PHOS-K""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
764,ZZ PROPOXYPHENE,TAB,,"FEB 14,2010",,,,Q4H,[],,[],P,,[]
765,ZZ PROTIRELIN,"INJ,SOLN",,"JUL 20,2007",,,,,[],,[],,,[]
766,PSEUDOEPHEDRINE 15MG/5ML,SYRUP,,,30D,ORAL,,Q6H PRN,"[""SUDAFED""]",N/F,"[""LOOK ALIKE SOUND ALIKE""]",FOR NASAL CONGESTION. DO NOT TAKE FOR MORE THAN 3 DAYS IN A ROW,,[]
767,PERMETHRIN 1%,"LIQUID,TOP",,,30D,TOPICAL HAIR-SCALP,,ONCE,"[""NIX""]",,[],LEAVE ON 10 MINUTES. RINSE AND COMB WITH NIT COMB,,[]
768,ZZ QUININE,"CAP,ORAL",,"FEB 19,2008",,,,,[],,[],F LEG CRAMPS,,[]
769,SODIUM BIPHOSPHATE/SODIUM PHOSPHATE,ENEMA,,,30D,RECTAL,,UD,"[""FLEETS""]",,[],,,[]
770,CLONIDINE,TAB,,,30D,ORAL,,BID,"[""CATAPRES""]",,"[""LOOK ALIKE SOUND ALIKE""]",FBP,,[]
771,CONDOM,MISCELLANEOUS,,,,TOPICAL CONDOM,,PRN,[],,[],,,[]
772,FLUOROURACIL 5%,"CREAM,TOP",,,30D,TOPICAL,,BID,"[""EFUDEX""]",N/F,[],,,[]
773,"ZZ GELATIN,ABSORBABLE",SPONGE,,"APR 16,2009",,TOPICAL MISCELLANEOUS,,PRN,[],,[],,,[]
774,PHENYLEPHRINE 0.25%,"SUPP,RTL",,,30D,RECTAL,,QID,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
775,ZZ HEPATITIS B,"INJ,SUSP",,"NOV 14,2012",,INTRAMUSCULAR,,UD,[],,[],,,[]
776,HYDROXYZINE,TAB,,,30D,ORAL,,TID,"[""ATARAX""]",,"[""LOOK ALIKE SOUND ALIKE""]",MCD,,[]
777,INFLUENZA,INJ,,,30D,INTRAMUSCULAR,,ONCE,"[""AFLURIA"", ""FLUARIX"", ""FLUBLOK"", ""FLUZONE"", ""INFLUENZA"", ""VACCINE""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
778,ZZ KETOCONAZOLE,TAB,,"JAN 29,1997",,,,,[],,[],,,[]
779,DEXTROSE 5% IN LR,"INJ,SOLN",,,30D,INTRAVENOUS,,AS DIRECTED,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
780,ZZ DIATRIZOATE,INJ,,"JAN 30,2008",,INTRAVENOUS,,ONCE,[],,[],,,[]
781,DIAZEPAM 5MG/ML,INJ,,,4D,IV PUSH,,Q6H,"[""VALIUM""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
782,ZZ DINOPROSTONE,"SUPP,VAG",,"MAR 1,2005",,VAGINAL,,UD,[],,[],,,[]
783,DOXYCYCLINE,INJ,,,7D,INTRAVENOUS,,BID,"[""VIBRAMYCIN""]",,[],,,[]
784,ZZ ATRACURIUM,INJ,,"AUG 18,2005",,,,,[],,[],,,[]
785,CARBOPROST TROMETHAMINE 250MCG/ML,"INJ,SOLN",,,30D,INTRAMUSCULAR,,ONCE,"[""HEMABATE""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
786,ZZ COLCHICINE,INJ,,"APR 27,2009",,INTRAVENOUS,,Q6H,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
787,NONOXYNOL-9 3%,"GEL,VAG",,,,VAGINAL,,UD,"[""ORTHO-GYNOL"", ""PRECEPTIN""]",,[],FOR PREVENTION OF PREGNANCY,,[]
788,ZZ CORTICOTROPIN,INJ,,"SEP 12,2008",,,,,[],,[],,,[]
789,NONOXYNOL-9 12.5%,"AEROSOL,VAG",,,,VAGINAL,,PRN,"[""CONTRACEPTIVE"", ""DELFEN"", ""EMKO"", ""FOAM""]",,[],,,[]
790,FUROSEMIDE 10MG/ML,"SOLN,ORAL",,,30D,ORAL,,DAILY,"[""LASIX""]",,[],,,[]
791,ACETAZOLAMIDE,"CAP,SA",,,30D,ORAL,,BID,"[""DIAMOX""]",,"[""LOOK ALIKE SOUND ALIKE""]",FGL,,[]
792,ZZ ACETAZOLAMIDE,INJ,,"FEB 8,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
793,AMINOPHYLLINE 25MG/ML,"INJ,SOLN",,,30D,INTRAVENOUS,,Q8H,[],,[],,,[]
794,CLINDAMYCIN 1%,"SOLN,TOP",,,30D,TOPICAL ACNE,,BID,"[""CLEOCIN T""]",,[],,,[]
795,CLONAZEPAM,TAB,,,,ORAL,,QHS PRN,"[""KLONOPIN""]",,"[""HAZARDOUS"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
796,ZZ CLOTRIMAZOLE,"TAB,VAG",,"FEB 28,2005",,,,,[],,[],FOR 7 NIGHTS FINF,,[]
797,CYCLOPENTOLATE 1%,"SOLN,OPH",,,30D,OPHTHALMIC,,ONCE,"[""CYCLOGYL""]",,[],,,[]
798,DAPSONE,TAB,,,7D,ORAL,,DAILY,"[""AVLOSULFON""]",N/F,[],,,[]
799,GLYBURIDE,TAB,,,30D,ORAL,,BID,"[""DIABETA"", ""MICRONASE""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",FDM,,[]
800,HYDROCORTISONE 2MG/ML,SUSP,,,30D,ORAL,,TID,[],,[],TO REDUCE INFLAMMATION,,[]
801,MEASLES/MUMPS/RUBELLA VIRUS,INJ,,,30D,SUBCUTANEOUS,,UD,"[""M-M-R"", ""MMR"", ""VACCINE""]",,[],,,[]
802,OXYBUTININ,TAB,,,30D,,,TID,"[""DITROPAN""]",,"[""LOOK ALIKE SOUND ALIKE""]",ES F URINARY CONTROL MCD,,[]
803,ZZ SODIUM BIPHOSPHATE/SODIUM PHOSPHATE,"LIQUID,ORAL",,"JUN 16,2020",30D,,,ONCE,"[""FLEET ORAL"", ""FLEETS ORAL"", ""PHOSPHO-SODA"", ""SALINE LAXATIVE""]",,[],,,[]
804,ZZ TRICHOPHYTON,INJ,,"FEB 6,2008",,,,,[],,[],,,[]
805,CARBAMIDE PEROXIDE 6.5%,"SOLN,OTIC",,,30D,OTIC,,BID,"[""DEBROX""]",,[],FOR EAR WAX (DO NOT USE FOR LONGER THAN 4 DAYS),,[]
806,GLUCOSE (NO CODE),TEST STRIP,,,,BLOOD TEST GLUCOSE,,UD,"[""PRODIGY AUTOCODE"", ""TESTAPE""]",N/F,[],FOR TESTING BLOOD SUGAR LEVELS.,,[]
807,ZZ VALPROIC ACID,SYRUP,,"APR 2,2014",,,,TID,[],,[],TPS,,[]
808,ZZ VITAMIN A,"LIQUID,ORAL",,"FEB 19,2008",,,,,[],,[],,,[]
809,ZZ VITAMIN E,"DROPS,ORAL",,"FEB 19,2008",,,,,[],,[],,,[]
810,ZZ ACETAMINOPHEN 80MG,"TAB,CHEWABLE",,"JAN 15,2019",30D,ORAL,PRN,Q6H,"[""TYLENOL""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",PRN F FEVER OR PAIN,,[]
811,HALOPERIDOL DECONOATE 100MG/ML,INJ,,,30D,INTRAMUSCULAR,,Q MONTH,"[""HALDOL DECONATE""]",,[],,,[]
812,ZZ HEMORRHOIDAL/HYDROCORTISONE,"SUPP,RTL",,"APR 26,2009",,RECTAL,,UD,[],,[],,,[]
813,HYDROCORTISONE VALERATE 0.2%,"OINT,TOP",,,30D,TOPICAL,,BID,[],N/F,[],F RASH OR INFLAMMATION,,[]
814,ALPROSTADIL 500MCG/ML,INJ,,,30D,INTRAVENOUS,,UD,"[""PROSTIN VR PEDIATRIC""]",,[],,,[]
815,ALUMINUM HYDROXIDE 320MG/5ML,SUSP,,,30D,ORAL,,QID PRN,"[""AMPHOJEL""]",,[],FOR HEARTBURN,,[]
816,ZZ AMINOCAPROIC ACID,TAB,,"DEC 14,2004",,,,,[],,[],,,[]
817,ZZ AMPICILLIN/SULBACTAM,INJ,,"FEB 27,2005",4D,IV PIGGYBACK,,Q6H,[],,[],,,[]
818,AMYL NITRITE,INHALANT,,,30D,INHALATION ORAL,,AS DIRECTED,[],,[],,,[]
819,ATENOLOL,TAB,,,30D,ORAL,,DAILY,"[""TENORMIN""]",,[],FBP,,[]
820,BENZTROPINE,TAB,,,30D,ORAL,,BID,"[""COGENTIN""]",,[],AFTER MEALS,,[]
821,ZZ CALAMINE/ZINC OXIDE,LOTION,,"AUG 8,2005",,,,,[],,[],,,[]
822,ZZ LEUCOVORIN CALCIUM,INJ,,"MAR 2,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
823,CEPHALEXIN 250MG/5ML,"PWDR,RENST-ORAL",,,7D,ORAL,,QID,"[""KEFLEX""]",,"[""CEPHALEXIN SUSP""]",FINF DISCARD_,,[]
824,CHARCOAL,LIQUID,,,30D,ORAL,,NOW,"[""ACTIDOSE""]",,[],WITHIN ONE HOUR OF INGESTION,,[]
825,ZZ CHLORZOXAZONE,TAB,,"SEP 9,2004",,,,TID,[],N/F,[],,,[]
826,CIPROFLOXACIN,TAB,,,7D,ORAL,,BID,"[""CIPRO""]",,[],FINF *AVOID EXCESS EXPOSURE TO SUN*,,[]
827,CLOTRIMAZOLE 1% TOP SOLN,"SOLN,TOP",,,,TOPICAL,,,[],,[],FOR INFECTION,,[]
828,COCCIDIODIN,INJ,,,30D,INTRADERMAL,,AS DIRECTED,"[""COCCIDIOIDOMYCOSIS SKIN TEST""]",,[],,,[]
829,CROMOLYN SOD 20MG/2ML,"SOLN,INHL",,,30D,INHALATION,,QID,"[""INTAL""]",,[],FBR,,[]
830,ZZ CROMOLYN,"AEROSOL,ORAL",,"MAY 25,2016",30D,INHALATION ORAL,,QID,[],,[],FBR,,[]
831,DESIPRAMINE,TAB,,,30D,,,DAILY,"[""NORPRAMIN""]",N/F,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
832,DEXAMETHASONE/NEOMYCIN/POLYMYXIN B,"SUSP,OPH",,,30D,OPHTHALMIC,,Q3H,"[""DEXACIDIN"", ""MAXITROL""]",,"[""LOOK ALIKE SOUND ALIKE""]",FINF SWB,,[]
833,DEXAMETHASONE/NEOMYCIN/POLYMYXIN B,"OINT,OPH",,,30D,OPHTHALMIC TOPICAL,,QID,"[""DEXACIDIN"", ""MAXITROL""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
834,DIBUCAINE 1%,"OINT,TOP",,,30D,TOPICAL,,UD,"[""NUPERCAINAL""]",,[],,,[]
835,DOBUTAMINE 250MG/20ML,INJ,,,30D,INTRAVENOUS,,UD,"[""DOBUTREX""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
836,ZZ CAFFEINE/ERGOTAMINE,TAB,,"FEB 5,2014",,ORAL HEADACHE,,UD,[],,[],THEN 1 TABLET IN 30 MINUTES IF NO RELIEF (NO MORE THAN 6 TABLETS PER HEADACHE),,[]
837,ZZ COPPER,IUD,,"FEB 11,2008",,VAGINAL,,,[],,[],,,[]
838,ZZ IODINE/POTASSIUM IODIDE,"SOLN,ORAL",,"FEB 16,2005",,,,,[],,[],,,[]
839,ZZ IODIPAMIDE MEGLUMINE,INJ,,"JAN 7,2020",30D,INTRAVENOUS,,AS DIRECTED,[],,[],,,[]
840,ZZ HEMOPHILUS B,KIT,,"DEC 26,2007",,,,,[],,[],,,[]
841,ZZ METAPROTERENOL,TAB,,"APR 10,2018",,,,,"[""ALUPENT"", ""METAPREL""]",N/F,[],FBR,,[]
842,ZZ KERI,LOTION,,"FEB 11,2020",30D,TOPICAL,,AS DIRECTED,[],,[],,,[]
843,ZZ NA,SUSP,,JUN 2010,,,,,[],,[],,,[]
844,ZZ NIACIN,"CAP,SA",,"AUG 24,2000",,,,DAILY,[],,[],WITH FOOD F LIPIDS,,[]
845,SODIUM NITROPRUSSIDE,INJ,,,30D,INTRAVENOUS,,UD,"[""NIPRIDE"", ""NITROPRESS""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
846,ZZ OXAZEPAM,"CAP,ORAL",,"SEP 4,2018",4D,ORAL,PRN,AS DIRECTED,[],,[],,,[]
847,PRALIDOXIME,"INJ,SOLN",,,30D,IV PUSH,,AS DIRECTED,"[""PROTOPAM""]",,[],,,[]
848,PYRAZINAMIDE,TAB,,,7D,ORAL,,DAILY,[],,[],,,[]
849,RANITIDINE,TAB,,"MAR 31,2020",30D,ORAL,,BID,"[""ZANTAC""]",N/F,[],FOR STOMACH ACID,,[]
850,BENZYL ALCOHOL/SODIUM CHLORIDE,INJ,,,30D,IV PIGGYBACK,,UD,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
851,THIAMINE,TAB,,,30D,ORAL,,DAILY,"[""B1"", ""VITAMIN B1""]",,"[""LOOK ALIKE SOUND ALIKE""]",FOR VITAMIN B1 SUPPLEMENT,,[]
852,ZZ THROMBIN,"POWDER,TOP",,"FEB 14,2008",,,,,[],,[],,,[]
853,TRIAMCINOLONE 40MG/ML,"INJ,SUSP",,,30D,INTRA-ARTICULAR,,ONCE,"[""KENALOG-40""]",,[],,,[]
854,VALPROIC ACID,"CAP,ORAL",,,30D,,,TID,"[""DEPAKENE""]",,"[""HAZARDOUS""]",TPS,,[]
855,ZZ AURANOFIN,"CAP,ORAL",,"AUG 18,2005",,,,,[],,[],FAR,,[]
856,ZIDOVUDINE,"CAP,ORAL",,,7D,,,TID,"[""RETROVIR""]",,"[""HAZARDOUS""]",,,[]
857,CARBAMAZEPINE CHEWABLE,"TAB,CHEWABLE",,,30D,ORAL,,BID,"[""TEG100"", ""TEGRETOL""]",,"[""LOOK ALIKE SOUND ALIKE""]",TPS,,[]
858,CYCLOSPORINE,"SOLN,ORAL",,,,ORAL,,,[],N/F,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
859,DEMECLOCYCLINE,TAB,,,7D,,,QID,"[""DECLOMYCIN""]",,[],FINF,,[]
860,CHLOROTHIAZIDE 250MG/5ML,SUSP,,,30D,ORAL,,BID,"[""DIURIL""]",N/F,[],FOR ABNORMAL BLOOD PRESSURE CONTROL,,[]
861,CHLOROQUINE,TAB,,,30D,ORAL,,DAILY,"[""ARALEN""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
862,ZZ ETIDRONATE,TAB,,"SEP 4,2018",30D,,,DAILY,[],N/F,[],,,[]
863,GRISEOFULVIN 125MG/5ML MICROSIZE,SUSP,,,7D,ORAL,,BID,"[""GRIFULVIN V""]",,[],FOR FUNGAL INFECTION,,[]
864,GEMFIBROZIL,"TAB,ORAL",,,30D,ORAL,,BID,"[""LOPID""]",N/F,"[""LOOK ALIKE SOUND ALIKE""]",FCHOL,,[]
865,ZZ HYDROCORTISONE,POWDER,,"OCT 2,1999",,,,,[],,[],,,[]
866,NORTRIPTYLINE,"CAP,ORAL",,,30D,ORAL,,HS,"[""AVENTYL"", ""PAMELOR""]",,[],*MAY CAUSE DROWSINESS*,,[]
867,PENTOXIFYLLINE,"TAB,SA",,,30D,ORAL,,TID,"[""TRENTAL""]",N/F,[],,,[]
868,ZZ PREDNISOLONE,SYRUP,,"APR 21,2009",,ORAL,,DAILY,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
869,ZZ QUINACRINE,TAB,,"MAR 13,2005",,,,,[],N/F,[],,,[]
870,SULINDAC,TAB,,,30D,,,BID,"[""CLINORIL""]",N/F,[],WITH FOOD,,[]
871,THIOGUANINE,TAB,,,30D,ORAL,,DAILY,[],N/F,"[""HAZARDOUS"", ""HIGH RISK HIGH ALERT""]",,,[]
872,THEOPHYLLINE,"TAB,SA",,,30D,,,TID,"[""THEODUR""]",,[],TO IMPROVE BREATHING.,,[]
873,PIROXICAM,"CAP,ORAL",,,30D,,,DAILY,"[""FELDENE""]",,"[""LOOK ALIKE SOUND ALIKE""]",WITH FOOD FPA,,[]
874,ZZ ALBUTEROL 2.5MG/3ML,"SOLN,INHL",,"APR 28,2014",,INHALATION,,Q6H,[],,[],F SHORTNESS OF BREATH OR WHEEZING,,[]
875,NAPHAZOLINE 0.025% / PHENIRAMINE 0.3%,"SOLN,OPH",,,30D,OPHTHALMIC,,QID PRN,"[""NAPHCON"", ""VASOCON A"", ""VISINE A""]",,[],F ITCHY EYES,,[]
876,ZZ SODIUM FLUORIDE,"LIQUID,ORAL",,"FEB 19,2008",,TOPICAL,,BID,[],,[],,,[]
877,ZZ AMOXICILLIN/CLAVULANATE 250MG/125MG,TAB,,"NOV 29,2011",,,,TID,[],,[],FINF FM,,[]
878,ZZ ERGOCALCIFEROL,TAB,,"MAR 13,2005",,,,,[],,[],,,[]
879,POTASSIUM CHLORIDE,"TAB,SA",,,30D,ORAL,,QDAY,"[""KCL"", ""KLOR-CON""]",,[],F POTASSIUM,,[]
880,ZZ SULFUR,LOTION,,"MAR 28,2005",,,,,[],N/F,[],,,[]
881,ZZ COAL TAR,"OINT,TOP",,"JAN 27,2009",,TOPICAL,,BID,[],,[],,,[]
882,ZZ ACETIC ACID 2% / ALUMINUM ACETATE,"SOLN,OTIC",,"JUN 9,2018",30D,OTIC,,Q23H,[],,[],,,[]
883,ZZ METHYLCELLULOSE,"SOLN,OPH",,"NOV 24,2005",,OPHTHALMIC,,QID,[],,[],PRN F DRY EYES,,[]
884,ZZ MULTIVITAMINS,TAB,,"FEB 23,2009",7D,ORAL,,DAILY,[],,[],WITH FOOD FOR VITAMIN SUPPLEMENT,,[]
885,ZZ LINDANE,SHAMPOO,,"SEP 4,2018",30D,TOPICAL,,AS DIRECTED,[],N/F,[],,,[]
886,ZZ DIENESTROL,"CREAM,VAG",,"FEB 24,2005",,,,,[],,[],,,[]
887,ZZ VIDARABINE,"OINT,OPH",,"FEB 19,2008",,OPHTHALMIC TOPICAL,,Q3H,[],,[],,,[]
888,LISINOPRIL,TAB,,,30D,ORAL,,QDAY,"[""PRINIVIL"", ""ZESTRIL""]",,[],FBP,,[]
889,ENALAPRIL,TAB,,,30D,ORAL,,BID,"[""VASOTEC""]",N/F,[],TO LOWER BLOOD PRESSURE,,[]
890,ZZ IRON/MULTIVITAMINS,"TAB,SA",,"FEB 17,2005",,,,,[],,[],,,[]
891,POTASSIUM CHLORIDE,"PWDR,RENST-ORAL",,,30D,ORAL,,DAILY,"[""KAY CIEL"", ""KCL""]",,[],F POTASSIUM,,[]
892,ZZ FLUOCINOLONE,"CREAM,TOP",,"AUG 15,2000",,,,,[],,[],,,[]
893,ZZ AMINOPHYLLINE,"SOLN,ORAL",,"FEB 8,2005",,,,,[],,[],,,[]
894,ZZ GENTAMICIN,"OINT,TOP",,"MAR 1,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
895,ZZ AMCINONIDE,"OINT,TOP",,"OCT 5,2005",,TOPICAL,,BID,[],,[],FOR ITCHING,,[]
896,TRAZODONE,TAB,,,30D,ORAL,,HS,"[""DESYREL""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
897,MULTIVITAMINS,"LIQUID,ORAL",,,30D,ORAL,,DAILY,"[""POLY-VI-SOL""]",,[],WITH FOOD FOR VITAMIN SUPPLEMENT,,[]
898,ZZ FERROUS SULFATE 25MG/ML,"DROPS,ORAL",,"JAN 4,2009",,,,TID,[],,[],WITH FOOD FFE,,[]
899,LEUCOVORIN CALCIUM,TAB,,,30D,ORAL,,DAILY,[],N/F,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
900,SIMETHICONE,"TAB,CHEWABLE",,,30D,ORAL,,TID,"[""GAS-X"", ""MYLICON""]",,[],PRN FOR UPSET STOMACH OR GAS,,[]
901,ZZ SOMATREM,INJ,,"AUG 15,2000",,,,,[],,[],,,[]
902,ZZ TRETINOIN,"CREAM,TOP",,"MAR 6,2012",,TOPICAL ACNE,,BID,[],,"[""LOOK ALIKE SOUND ALIKE""]",F ACNE,,[]
903,CIMETIDINE 300MG/5ML,"LIQUID,ORAL",,,,ORAL,,QID,"[""TAGAMET""]",N/F,[],,,[]
904,ZZ CASANTHRANOL/DOCUSATE,"CAP,ORAL",,"FEB 28,2005",,,,,[],,[],,,[]
905,MORPHINE SULF 10MG/5ML,"SOLN,ORAL",,,3D,ORAL,,Q4H,[],,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",FPA MCD,,[]
906,AMIODARONE,TAB,,,30D,ORAL,,BID,"[""CORDARONE""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",FH RATE,,[]
907,ZZ HYDROXYZINE,SUSP,,"SEP 9,2004",,ORAL,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
908,METHENAMINE,TAB,,,,ORAL,,BID,"[""MANDELAMINE""]",N/F,[],TO PREVENT URINE INFECTIONS.,,[]
909,LIDOCAINE 2%,JELLY,,,30D,TOPICAL,,UD,"[""XYLOCAINE""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
910,ZZ CHLORAL HYDRATE,SYRUP,,"APR 24,2012",,,,ONCE,[],,[],,,[]
911,CLORAZEPATE,TAB,,,,ORAL,,TID,"[""TRANXENE""]",N/F,[],MCD,,[]
912,ZZ FERROUS SULFATE,LIQUID,,"FEB 21,2005",,,,,[],,[],,,[]
913,ZZ LANOLIN,"OINT,TOP",,"APR 27,2020",7D,TOPICAL,,AS DIRECTED,[],,[],,,[]
914,ZZ MULTIVITAMINS,LIQUID,,"AUG 9,2005",,,,DAILY,[],,[],,,[]
915,FAMOTIDINE 40MG/5ML,SUSP,,,30D,ORAL,,BID,"[""PEPCID""]",,[],FOR STOMACH ACID,,[]
916,ZZ COAL TAR,"GEL,TOP",,"FEB 20,2005",,,,,[],,[],,,[]
917,ZZ AMINO ACIDS/ELECTROLYTES,"INJ,SOLN",,"FEB 24,2003",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
918,ZZ AMPHETAMINE,TAB,,"FEB 22,2005",,,,,[],,[],,,[]
919,LITHIUM,"TAB,SA",,,30D,,,BID,"[""ESKALITH CR"", ""LITHOBID""]",N/F,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
920,PHOSPHORUS/POTASSIUM/SODIUM,"POWDER,ORAL",,,,ORAL,,,"[""NEUTRA PHOS""]",N/F,[],,,[]
921,CLOBETASOL PROPIONATE 0.05% (60GM),"OINT,TOP",,,30D,TOPICAL,,BID,"[""CLOBEX"", ""CORMAX"", ""EMBELINE"", ""TEMOVATE""]",,[],,,[]
922,ZZ NEFAZODONE,"TAB,ORAL",,"FEB 25,2003",,,,,[],,[],,,[]
923,ZZ TICARCILLIN,INJ,,"FEB 25,2003",,,,,[],,[],,,[]
924,ZZ CLOTRIMAZOLE,LOTION,,"FEB 25,2005",,TOPICAL,,BID,[],,[],,,[]
925,"ZZ MERCURY,AMMONIATED","OINT,TOP",,"FEB 16,2005",,,,,[],,[],,,[]
926,ZZ PROBALANCE,"LIQUID,ORAL",,"MAY 9,2005",,,,,[],N/F,[],,,[]
927,BECAPLERMIN 0.01%,"GEL,TOP",,,30D,TOPICAL,,DAILY,"[""REGRANEX""]",,[],TO AFFECTED AREA,,[]
928,MONTELUKAST,TAB,,,30D,,,HS,"[""SINGULAIR""]",,[],F ASTHMA,,[]
929,IPRATROPIUM 0.5MG/2.5ML,"SOLN,INHL",,,30D,INHALATION,,Q6H,"[""ATROVENT""]",,[],F SHORTNESS OF BREATH OR WHEEZING,,[]
930,CELECOXIB,"CAP,ORAL",,,30D,ORAL,,DAILY,"[""CELEBREX""]",,[],F PAIN,,[]
931,SELENIUM SULFIDE 2.5%,LOTION,,,30D,TOPICAL,,DAILY,"[""SELSUN BLUE""]",,[],,,[]
932,OLOPATADINE 0.1%,"SOLN,OPH",,,30D,OPHTHALMIC,,BID,"[""PATANOL""]",,[],F ITCHY EYES,,[]
933,ZZ ETANERCEPT,"INJ,PWDR",,"JAN 19,2012",,SUBCUTANEOUS,,ONCE,[],,[],,,[]
934,TOBRAMYCIN 0.3%,"SOLN,OPH",,,30D,OPHTHALMIC,,Q4H,"[""TOBREX""]",,[],,,[]
935,ZZ LEVOFLOXACIN,INJ,,"MAR 11,2014",4D,INTRAVENOUS,,Q24H,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
936,ZZ GLUCOSE TEST,STRIP,,"FEB 13,2005",,,,,[],,[],,,[]
937,LEFLUNOMIDE,TAB,,,30D,ORAL,,DAILY,"[""ARAVA""]",,"[""HAZARDOUS""]",FAR,,[]
938,RALOXIFENE,TAB,,,30D,ORAL,,DAILY,"[""EVISTA""]",N/F,"[""HAZARDOUS""]",FOR OSTEOPOROSIS,,[]
939,METHADONE 5MG/5ML,"SOLN,ORAL",,"MAY 28,2020",,ORAL,,,[],N/F,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",FPA,,[]
940,CLOPIDOGREL,TAB,,,7D,ORAL,,DAILY,"[""PLAVIX""]",,[],,,[]
941,ZZ FLUORIDE/MULTIVITAMINS,"DROPS,ORAL",,"JAN 2,2009",,,,QDAY,[],,[],FOR VITAMINS,,[]
942,SILDENAFIL,TAB,,,30D,ORAL,,,"[""VIAGRA""]",,[],,,[]
943,ESTROGEN/MEDROXYPROGESTERONE0.625/0.25MG,TAB,,,30D,ORAL,,DAILY,"[""PREMPRO""]",,"[""LOOK ALIKE SOUND ALIKE""]",FOR HORMONE REPLACEMENT,,[]
944,MONTELUKAST,"TAB,CHEWABLE",,,30D,ORAL,,HS,"[""SINGULAIR""]",,[],F ASTHMA OR ALLERGIES,,[]
945,ZZ DIVALPROEX,"TAB,EC (DELAYED RELEASE)",,"OCT 10,2007",,,,BID,[],,[],TPS,,[]
946,LORATADINE,"TAB,ORAL",,,30D,ORAL,,DAILY,"[""CLARITIN""]",N/F,[],F ALLERGIES,,[]
